Name,Salary
Donatas Motiejunas,"$101,577 "
Johnathan Motley,"$79,030 "
Luc Mbah a Moute,"$4,420,081 "
Timofey Mozgov,"$16,368,778 "
Emmanuel Mudiay,"$4,393,460 "
Jamal Murray,"$3,580,465 "
Dejounte Murray,"$1,580,559 "
Dzanan Musa,"$1,672,070 "
Mike Muscala,"$5,115,243 "
Sviatoslav Mykhailiuk,"$1,521,983 "
Abdel Nader,"$1,410,008 "
Shabazz Napier,"$1,987,192 "
Nenê,"$3,735,641 "
Raul Neto,"$2,148,402 "
Georges Niang,"$1,547,464 "
Andrew Nicholson,"$2,909,989 "
Joakim Noah,"$20,728,164 "
Nerlens Noel,"$1,797,935 "
Dirk Nowitzki,"$5,115,243 "
Frank Ntilikina,"$4,251,503 "
Kendrick Nunn,"$48,461 "
James Nunnally,"$678,541 "
Jusuf Nurkic,"$11,367,206 "
David Nwaba,"$1,547,464 "
Semi Ojeleye,"$1,410,008 "
Jahlil Okafor,"$1,603,124 "
Elie Okobo,"$1,267,008 "
Josh Okogie,"$2,213,468 "
Victor Oladipo,"$21,484,021 "
Kelly Olynyk,"$13,849,548 "
Royce O'Neale,"$1,410,008 "
Kyle O'Quinn,"$4,551,543 "
Cedi Osman,"$2,838,959 "
Kelly Oubre,"$3,282,584 "
Zaza Pachulia,"$2,449,062 "
Georgios Papagiannis,"$2,455,807 "
Jabari Parker,"$20,460,972 "
Tony Parker,"$5,115,243 "
Chandler Parsons,"$24,662,897 "
Patrick Patterson,"$5,577,251 "
Justin Patton,"$2,729,084 "
Chris Paul,"$36,475,929 "
Cameron Payne,"$3,519,651 "
Elfrid Payton,"$3,069,145 "
Tarik Phillip,"$48,461 "
Theo Pinson,"$79,030 "
Mason Plumlee,"$13,215,545 "
Miles Plumlee,"$12,685,802 "
Jakob Poeltl,"$3,015,251 "
Quincy Pondexter,"$2,215,392 "
Otto Porter,"$26,611,451 "
Michael Porter,"$2,960,866 "
Bobby Portis,"$2,551,837 "
Kristaps Porzingis,"$5,828,363 "
Dwight Powell,"$9,853,237 "
Norman Powell,"$9,583,101 "
Alex Poythress,"$79,030 "
Billy Preston,"$79,030 "
Taurean Prince,"$2,585,080 "
Zhou Qi,"$1,410,008 "
Ivan Rabb,"$1,410,008 "
Julius Randle,"$8,840,163 "
Chasson Randle,"$998,315 "
Zach Randolph,"$11,961,799 "
JJ Redick,"$12,532,345 "
Davon Reed,"$769,587 "
Cam Reynolds,"$111,464 "
Josh Richardson,"$9,583,101 "
Malachi Richardson,"$1,605,531 "
Austin Rivers,"$13,458,535 "
Andre Roberson,"$10,230,486 "
Jerome Robinson,"$3,120,461 "
Mitchell Robinson,"$1,519,677 "
Devin Robinson,"$79,030 "
Duncan Robinson,"$79,030 "
Rajon Rondo,"$9,207,437 "
Derrick Rose,"$2,226,419 "
Terrence Ross,"$10,742,010 "
Terry Rozier,"$3,120,696 "
Ricky Rubio,"$15,141,119 "
D'Angelo Russell,"$7,181,492 "
Domantas Sabonis,"$2,721,104 "
JaKarr Sampson,"$87,426 "
Brandon Sampson,"$79,030 "
Dario Saric,"$2,585,080 "
Tomas Satoransky,"$3,201,310 "
Dennis Schroeder,"$15,857,253 "
Mike Scott,"$4,420,081 "
Thabo Sefolosha,"$5,371,005 "
Wayne Selden,"$1,580,559 "
Collin Sexton,"$4,167,654 "
Landry Shamet,"$1,745,239 "
Iman Shumpert,"$11,265,027 "
Pascal Siakam,"$1,580,559 "
Jordan Sibert,"$48,461 "
Ben Simmons,"$6,582,826 "
Jonathon Simmons,"$6,138,291 "
Kobi Simmons,"$77,993 "
Anfernee Simons,"$1,880,158 "
Kyle Singler,"$1,703,716 "
Marcus Smart,"$11,417,955 "
JR Smith,"$15,059,275 "
Ishmael Smith,"$6,138,291 "
Jason Smith,"$5,575,615 "
Josh Smith,"$5,454,618 "
Dennis Smith,"$3,908,004 "
Zhaire Smith,"$2,675,435 "
Tony Snell,"$10,851,623 "
Richard Solomon,"$48,461 "
Raymond Spalding,"$1,046,793 "
Omari Spellman,"$1,659,916 "
Nik Stauskas,"$2,211,714 "
DJ Stephens,"$79,030 "
Lance Stephenson,"$4,551,543 "
Jarnell Stokes,"$79,030 "
Edmond Sumner,"$460,161 "
Caleb Swanigan,"$1,780,104 "
Jayson Tatum,"$6,855,244 "
Jeff Teague,"$19,437,923 "
Mirza Teletovic,"$10,742,010 "
Garrett Temple,"$8,184,389 "
Milos Teodosic,"$6,445,206 "
Jared Terrell,"$79,030 "
Emanuel Terry,"$96,922 "
Daniel Theis,"$1,410,008 "
Lance Thomas,"$7,283,748 "
Isaiah Thomas,"$2,076,239 "
Khyri Thomas,"$857,789 "
Klay Thompson,"$19,426,389 "
Tristan Thompson,"$17,872,214 "
Jason Thompson,"$913,923 "
Sindarius Thornwell,"$1,410,008 "
Anthony Tolliver,"$5,882,529 "
Karl-Anthony Towns,"$8,020,123 "
Allonzo Trier,"$3,459,950 "
PJ Tucker,"$8,142,993 "
Evan Turner,"$18,280,705 "
Myles Turner,"$3,370,939 "
Ekpe Udoh,"$3,437,443 "
Tyler Ulis,"$79,030 "
Jonas Valanciunas,"$16,920,534 "
Denzel Valentine,"$2,333,164 "
Jarred Vanderbilt,"$857,789 "
Fred VanVleet,"$8,853,306 "
Noah Vonleh,"$1,658,786 "
Nikola Vucevic,"$13,043,869 "
Dwyane Wade,"$2,449,062 "
Moritz Wagner,"$1,804,903 "
Dion Waiters,"$12,997,832 "
Kemba Walker,"$12,276,583 "
Lonnie Walker,"$2,414,558 "
John Wall,"$19,611,637 "
Tyrone Wallace,"$1,380,484 "
Brad Wanamaker,"$857,789 "
TJ Warren,"$12,020,821 "
Julian Washburn,"$79,030 "
Yuta Watanabe,"$79,030 "
Thomas Welsh,"$79,030 "
Russell Westbrook,"$36,487,029 "
Derrick White,"$1,705,585 "
Okaro White,"$253,539 "
Isaiah Whitehead,"$743,132 "
Hassan Whiteside,"$24,997,438 "
Andrew Wiggins,"$26,054,235 "
Marvin Williams,"$14,412,197 "
Louis Williams,"$8,184,389 "
Deron Williams,"$5,600,973 "
Robert Williams,"$1,694,782 "
Kenrich Williams,"$857,789 "
Johnathan Williams,"$130,182 "
Troy Williams,"$79,030 "
CJ Williams,"$79,030 "
Alan Williams,"$79,030 "
DJ Wilson,"$2,592,691 "
Justise Winslow,"$3,528,419 "
Christian Wood,"$1,547,464 "
Delon Wright,"$2,595,370 "
Guerschon Yabusele,"$2,729,084 "
Thaddeus Young,"$14,081,287 "
Trae Young,"$5,486,896 "
Nick Young,"$290,566 "
Rade Zagorac,"$1,410,008 "
Cody Zeller,"$13,839,893 "
Tyler Zeller,"$218,878 "
Ante Zizic,"$1,997,768 "
Ivica Zubac,"$1,580,559 "
